time;dev;tps;r/s;w/s;avgrq-sz;avgqu-sz;await;svctm;pct_util
15:35:58;sdb;0.80;0.00;20.88;26.00;0.00;0.00;0.00;0.00
15:35:58;sda;9.24;0.00;128.51;13.91;0.00;0.28;0.22;0.20
15:36:03;sdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15:36:03;sda;12.30;0.00;203.23;16.52;0.00;0.26;0.07;0.08
15:36:08;sdb;4.02;0.00;41.77;10.40;0.00;0.00;0.00;0.00
15:36:08;sda;5.82;0.00;91.57;15.72;0.00;0.00;0.00;0.00
15:36:13;sdb;2.01;0.00;20.93;10.40;0.00;0.60;0.30;0.06
15:36:13;sda;11.07;0.00;193.16;17.45;0.00;0.11;0.02;0.02
15:36:18;sdb;0.60;0.00;6.43;10.67;0.00;0.00;0.00;0.00
15:36:18;sda;4.62;0.00;72.29;15.65;0.00;0.04;0.04;0.02
