time;dev;tps;r/s;w/s;avgrq-sz;avgqu-sz;await;svctm;pct_util
15:36:48;sdb;1.61;0.00;20.88;13.00;0.00;0.00;0.00;0.00
15:36:48;sda;8.23;0.00;155.82;18.93;0.00;0.34;0.22;0.18
15:36:53;sdb;1.60;0.00;22.44;14.00;0.00;0.38;0.38;0.06
15:36:53;sda;6.61;0.00;96.19;14.55;0.00;0.03;0.03;0.02
15:36:58;sdb;0.20;0.00;3.21;16.00;0.00;3.00;3.00;0.06
15:36:58;sda;10.84;0.00;168.67;15.56;0.00;0.11;0.04;0.04
15:37:03;sdb;2.01;0.00;25.75;12.80;0.00;0.00;0.00;0.00
15:37:03;sda;10.66;0.00;140.04;13.13;0.00;0.02;0.02;0.02
15:37:08;sdb;1.41;0.00;16.13;11.43;0.00;0.00;0.00;0.00
15:37:08;sda;6.65;0.00;100.00;15.03;0.00;0.03;0.03;0.02
