time;cpuid;pct_usr;pct_sys;pct_wio;pct_idle
15:35:58;all;0.91;0.26;0.00;98.82
15:35:58;0;1.41;0.60;0.00;97.99
15:35:58;1;2.40;0.60;0.00;96.99
15:35:58;2;0.80;0.20;0.00;99.00
15:35:58;3;0.80;0.40;0.00;98.80
15:35:58;4;0.60;0.20;0.00;99.20
15:35:58;5;0.80;0.20;0.00;99.00
15:35:58;6;0.40;0.20;0.00;99.40
15:35:58;7;0.60;0.20;0.00;99.20
15:35:58;8;1.40;0.40;0.00;98.20
15:35:58;9;1.40;0.40;0.00;98.20
15:35:58;10;1.00;0.20;0.00;98.80
15:35:58;11;1.00;0.40;0.00;98.60
15:35:58;12;0.60;0.20;0.00;99.20
15:35:58;13;0.40;0.20;0.00;99.40
15:35:58;14;1.00;0.20;0.00;98.80
15:35:58;15;0.40;0.00;0.00;99.60
15:36:03;all;1.74;0.28;0.00;97.98
15:36:03;0;2.82;0.40;0.00;96.77
15:36:03;1;2.00;1.00;0.00;96.99
15:36:03;2;1.20;0.60;0.00;98.20
15:36:03;3;1.61;0.20;0.00;98.19
15:36:03;4;1.80;0.20;0.00;98.00
15:36:03;5;1.80;0.20;0.00;98.00
15:36:03;6;1.41;0.00;0.00;98.59
15:36:03;7;1.40;0.20;0.00;98.40
15:36:03;8;2.61;0.40;0.00;96.99
15:36:03;9;2.40;0.40;0.00;97.19
15:36:03;10;2.20;0.20;0.00;97.60
15:36:03;11;1.80;0.20;0.00;98.00
15:36:03;12;1.20;0.20;0.00;98.60
15:36:03;13;1.00;0.20;0.00;98.80
15:36:03;14;2.01;0.20;0.00;97.79
15:36:03;15;0.40;0.20;0.00;99.40
15:36:08;all;1.80;0.40;0.00;97.80
15:36:08;0;3.01;0.40;0.00;96.59
15:36:08;1;2.81;0.80;0.00;96.39
15:36:08;2;2.01;1.20;0.00;96.79
15:36:08;3;1.00;0.40;0.00;98.60
15:36:08;4;1.20;0.20;0.00;98.60
15:36:08;5;1.61;0.00;0.00;98.39
15:36:08;6;0.40;0.40;0.00;99.20
15:36:08;7;0.40;0.20;0.00;99.40
15:36:08;8;4.61;0.60;0.00;94.79
15:36:08;9;3.21;0.60;0.00;96.18
15:36:08;10;2.01;0.20;0.00;97.79
15:36:08;11;1.60;0.20;0.00;98.20
15:36:08;12;1.20;0.40;0.00;98.40
15:36:08;13;1.20;0.20;0.00;98.60
15:36:08;14;1.80;0.40;0.00;97.80
15:36:08;15;1.20;0.20;0.00;98.60
15:36:13;all;2.37;0.29;0.00;97.35
15:36:13;0;4.23;0.40;0.00;95.37
15:36:13;1;3.81;1.00;0.00;95.19
15:36:13;2;2.81;0.20;0.00;96.99
15:36:13;3;2.21;0.20;0.00;97.59
15:36:13;4;2.20;0.20;0.00;97.60
15:36:13;5;2.20;0.20;0.00;97.60
15:36:13;6;1.80;0.20;0.00;98.00
15:36:13;7;0.80;0.20;0.00;99.00
15:36:13;8;3.40;0.60;0.00;96.00
15:36:13;9;3.21;0.60;0.00;96.19
15:36:13;10;1.20;0.40;0.00;98.40
15:36:13;11;1.00;0.00;0.00;99.00
15:36:13;12;2.20;0.00;0.00;97.80
15:36:13;13;2.01;0.20;0.00;97.79
15:36:13;14;2.40;0.40;0.00;97.20
15:36:13;15;1.80;0.20;0.00;98.00
15:36:18;all;2.05;0.35;0.00;97.60
15:36:18;0;3.41;0.20;0.00;96.39
15:36:18;1;2.62;0.80;0.00;96.58
15:36:18;2;2.20;0.40;0.20;97.21
15:36:18;3;2.20;0.20;0.00;97.60
15:36:18;4;0.60;0.20;0.00;99.20
15:36:18;5;2.20;0.20;0.00;97.60
15:36:18;6;1.60;0.20;0.00;98.20
15:36:18;7;0.80;0.20;0.00;99.00
15:36:18;8;3.81;1.20;0.00;94.99
15:36:18;9;2.01;0.40;0.00;97.59
15:36:18;10;2.40;0.40;0.00;97.20
15:36:18;11;2.20;0.40;0.00;97.41
15:36:18;12;1.60;0.20;0.00;98.20
15:36:18;13;1.60;0.20;0.00;98.20
15:36:18;14;2.40;0.20;0.00;97.40
15:36:18;15;1.41;0.20;0.00;98.39
